Player Name,Team Name,Price,Year
Manan vohra,Rajasthan Royals,0.2 crore,2021
Shreyas gopal,Rajasthan Royals,0.2 crore,2021
Virat kohli,Royal Challengers Bangalore,17 crore,2021
Kyle Jamieson,Royal Challengers Bangalore,15 crore,2021
Glenn maxwell,Royal Challengers Bangalore,14.25 crore,2021
Ab de villiers,Royal Challengers Bangalore,11 crore,2021
Harshal patel,Royal Challengers Bangalore,10.75 crore,2021
Yuzvendra chahal,Royal Challengers Bangalore,6.00 crore,2021
Daniel christian,Royal Challengers Bangalore,4.8 crore,2021
Washington sundar,Royal Challengers Bangalore,3.2 crore,2021
Mohammed siraj,Royal Challengers Bangalore,2.6 crore,2021
Shahbaz Ahmed,Royal Challengers Bangalore,2.4 crore,2021
Rajat Patidar,Royal Challengers Bangalore,0.2 crore,2021
David warner,Sunrisers Hyderabad,12.5 crore,2021
Manish pandey,Sunrisers Hyderabad,11 crore,2021
Rashid Khan,Sunrisers Hyderabad,9 crore,2021
Bhuvneshwar kumar,Sunrisers Hyderabad,8 crore,2021
T natarajan,Sunrisers Hyderabad,4 crore,2021
Kane williamson,Sunrisers Hyderabad,3 crore,2021
Vijay shankar,Sunrisers Hyderabad,2.1 crore,2021
Wriddhiman saha,Sunrisers Hyderabad,1.2 crore,2021
Mohammad nabi,Sunrisers Hyderabad,1 crore,2021
Abdul Samad,Sunrisers Hyderabad,0.2 crore,2021
Sandeep sharma,Sunrisers Hyderabad,0.2 crore,2021
Jonny bairstow,Sunrisers Hyderabad,0 crore,2021
Krishnappa Gowtham,Chennai Super Kings,"9,25,00,000",2021
Moeen Ali,Chennai Super Kings,"7,00,00,000",2021
Cheteshwar Pujara,Chennai Super Kings,"50,00,000",2021
C Hari Nishaanth,Chennai Super Kings,"20,00,000",2021
K.Bhagath Varma,Chennai Super Kings,"20,00,000",2021
M. Harisankar Reddy,Chennai Super Kings,"20,00,000",2021
Tom Curran,Delhi Capitals,"5,25,00,000",2021
Steven Smith,Delhi Capitals,"2,20,00,000",2021
Sam Billings,Delhi Capitals,"2,00,00,000",2021
Umesh Yadav,Delhi Capitals,"1,00,00,000",2021
Lukman Hussain Meriwala,Delhi Capitals,"20,00,000",2021
M Siddharth,Delhi Capitals,"20,00,000",2021
Ripal Patel,Delhi Capitals,"20,00,000",2021
Vishnu Vinod,Delhi Capitals,"20,00,000",2021
Shakib Al Hasan,Kolkata Knight Riders,"3,20,00,000",2021
Harbhajan Singh,Kolkata Knight Riders,"2,00,00,000",2021
Ben Cutting,Kolkata Knight Riders,"75,00,000",2021
Karun Nair,Kolkata Knight Riders,"50,00,000",2021
Pawan Negi,Kolkata Knight Riders,"50,00,000",2021
Sheldon Jackson,Kolkata Knight Riders,"20,00,000",2021
Vaibhav Arora,Kolkata Knight Riders,"20,00,000",2021
Venkatesh Iyer,Kolkata Knight Riders,"20,00,000",2021
Nathan Coulter-Nile,Mumbai Indians,"5,00,00,000",2021
Adam Milne,Mumbai Indians,"3,20,00,000",2021
Piyush Chawla,Mumbai Indians,"2,40,00,000",2021
James Neesham,Mumbai Indians,"50,00,000",2021
Arjun Tendulkar,Mumbai Indians,"20,00,000",2021
Marco Jansen,Mumbai Indians,"20,00,000",2021
Yudhvir Charak,Mumbai Indians,"20,00,000",2021
Jhye Richardson,Punjab Kings,"14,00,00,000",2021
Riley Meredith,Punjab Kings,"8,00,00,000",2021
Shahrukh Khan,Punjab Kings,"5,25,00,000",2021
Moises Henriques,Punjab Kings,"4,20,00,000",2021
Dawid Malan,Punjab Kings,"1,50,00,000",2021
Fabian Allen,Punjab Kings,"75,00,000",2021
Jalaj Saxena,Punjab Kings,"30,00,000",2021
Saurabh Kumar,Punjab Kings,"20,00,000",2021
Utkarsh Singh,Punjab Kings,"20,00,000",2021
Christopher Morris,Rajasthan Royals,"16,25,00,000",2021
Shivam Dube,Rajasthan Royals,"4,40,00,000",2021
Chetan Sakariya,Rajasthan Royals,"1,20,00,000",2021
Mustafizur Rahman,Rajasthan Royals,"1,00,00,000",2021
Liam Livingstone,Rajasthan Royals,"75,00,000",2021
Akash Singh,Rajasthan Royals,"20,00,000",2021
K.C Cariappa,Rajasthan Royals,"20,00,000",2021
Kuldip Yadav,Rajasthan Royals,"20,00,000",2021
Kyle Jamieson,Royal Challengers Bangalore,"15,00,00,000",2021
Glenn Maxwell,Royal Challengers Bangalore,"14,25,00,000",2021
Dan Christian,Royal Challengers Bangalore,"4,80,00,000",2021
Kona Srikar Bharat,Royal Challengers Bangalore,"20,00,000",2021
Mohammed Azharudeen,Royal Challengers Bangalore,"20,00,000",2021
Rajat Patidar,Royal Challengers Bangalore,"20,00,000",2021
Sachin Baby,Royal Challengers Bangalore,"20,00,000",2021
Suyash Prabhudesai,Royal Challengers Bangalore,"20,00,000",2021
Kedar Jadhav,Sunrisers Hyderabad,"2,00,00,000",2021
Mujeeb Zadran,Sunrisers Hyderabad,"1,50,00,000",2021
J Suchith,Sunrisers Hyderabad,"30,00,000",2021
Ravindra jadeja,Chennai Super Kings,16 crore,2022
Ms dhoni,Chennai Super Kings,12 crore,2022
Moeen Ali,Chennai Super Kings,8 crore,2022
Ambati rayudu,Chennai Super Kings,6.75 crore,2022
Ruturaj Gaikwad,Chennai Super Kings,6 crore,2022
Dwayne bravo,Chennai Super Kings,4.4 crore,2022
Shivam dube,Chennai Super Kings,4 crore,2022
Chris jordan,Chennai Super Kings,3.6 crore,2022
Robin uthappa,Chennai Super Kings,2 crore,2022
Adam milne,Chennai Super Kings,1.9 crore,2022
Mitchell santner,Chennai Super Kings,1.9 crore,2022
Devon Conway,Chennai Super Kings,1 crore,2022
Maheesh Theekshana,Chennai Super Kings,0.7 crore,2022
Dwaine Pretorius,Chennai Super Kings,0.5 crore,2022
Mukesh Choudhary,Chennai Super Kings,0.2 crore,2022
Tushar Deshpande,Chennai Super Kings,0.2 crore,2022
Rishabh pant,Delhi Capitals,16 crore,2022
Shardul thakur,Delhi Capitals,10.75 crore,2022
Axar patel,Delhi Capitals,9 crore,2022
Prithvi shaw,Delhi Capitals,7.5 crore,2022
Anrich Nortje,Delhi Capitals,6.5 crore,2022
David warner,Delhi Capitals,6.25 crore,2022
Khaleel ahmed,Delhi Capitals,5.25 crore,2022
Chetan Sakariya,Delhi Capitals,4.2 crore,2022
Rovman powell,Delhi Capitals,2.8 crore,2022
Kuldeep yadav,Delhi Capitals,2 crore,2022
Mustafizur rahman,Delhi Capitals,2 crore,2022
Kamlesh Nagarkoti,Delhi Capitals,1.1 crore,2022
Mandeep singh,Delhi Capitals,1.1 crore,2022
AM Ghazanfar,Delhi Capitals,0.65 crore,2022
Tim Seifert,Delhi Capitals,0.5 crore,2022
Praveen dubey,Delhi Capitals,0.5 crore,2022
Sarfaraz khan,Delhi Capitals,0.2 crore,2022
Hardik pandya,Gujarat Titans,15 crore,2022
Rashid Khan,Gujarat Titans,15 crore,2022
Lockie ferguson,Gujarat Titans,10 crore,2022
Rahul tewatia,Gujarat Titans,9 crore,2022
Shubman gill,Gujarat Titans,8 crore,2022
Mohammad shami,Gujarat Titans,6.25 crore,2022
David Miller,Gujarat Titans,3 crore,2022
Abhinav Manohar,Gujarat Titans,2.6 crore,2022
Matthew wade,Gujarat Titans,2.4 crore,2022
Wriddhiman saha,Gujarat Titans,1.9 crore,2022
Rahmanullah Gurbaz,Gujarat Titans,1.5 crore,2022
Vijay shankar,Gujarat Titans,1.4 crore,2022
Varun aaron,Gujarat Titans,0.5 crore,2022
Christopher King,Gujarat Titans,0.2 crore,2022
Sai Sudharsan,Gujarat Titans,0.2 crore,2022
Kagiso Rabada,Kings XI Punjab,9.25 crore,2022
Jonny bairstow,Kings XI Punjab,6.75 crore,2022
